Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic,,,,,,
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,13-Nov,20:00,21:00,Monday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Storage, Batch",,,,,,
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum machine learning algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,14-Nov,10:00,11:00,Tuesday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum, Amazon Braket",,,,,,
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training machine learning (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,14-Nov,11:00,12:00,Tuesday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Machine learning",,,,,,
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,14-Nov,12:00,13:00,Tuesday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,ParallelCluster,,,,,,
AWS-THEATRE,T,,,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease","Join this session to learn how organizations across different fields—from EDA to drug design—have been using AWS to scale and improve their R&D. Learn how to create a real, large, and very complete cluster in a few minutes using AWS HPC services, including AWS ParallelCluster, Amazon FSx for Lustre, and visualization with NICE DCV. Find out how to customize compute images to include applications and development tools, and discover how to integrate with Spack for reliable deployment of open source packages.",AWS,14-Nov,13:00,14:00,Tuesday,bouffler,"Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Visualization",,,,,,
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,14-Nov,14:00,15:00,Tuesday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI",,,,,,
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,14-Nov,15:00,16:00,Tuesday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre,,,,,,
AWS-THEATRE,T,,,Building secure HPC environments with AWS ParallelCluster,"HPC systems and workloads have their own unique set of security challenges. Running these workloads on AWS can help you address these challenges in new ways and with this freedom comes the ability to choose different solutions based on your organization’s unique needs. In this session, walk through a traditional HPC security scenario and discover different approaches you can take to address these challenges. Find out how the AWS secure-by-design architecture helps take care of common security challenges, and learn best practices for building secure HPC environments on AWS. When you’re done, you’ll understand how your cloud infrastructure can be even more secure than your data centers.",AWS,14-Nov,16:00,17:00,Tuesday,bouffler,"Lowell Wofford, Principal HPC Solutions Architect, AWS; Evan Bollig, Principal HPC Specialist, AWS",,Building secure HPC environments with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security",,,,,,
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum machine learning algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,15-Nov,10:00,11:00,Wednesday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum computing, Amazon Braket",,,,,,
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training machine learning (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,15-Nov,11:00,12:00,Wednesday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Machine learning",,,,,,
