Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc
SC22-DEMOS,1,,,AWS ParallelCluster and Pcluster Manager,"Launch and manage dynamically scaling high performance computing (HPC) clusters on AWS with AWS ParallelCluster. Stop by for demos including ""Introduction to AWS Parallel Cluster"", ""Introduction to Pcluster Manager"", ""License Management in AWS ParallelCluster"", ""AWS ParallelCluster Fast Failover"", and ""My laptop has 50k cores"".",AWS,15-Nov,10:00,18:00,Tuesday,,AWS HPC Team,,,"AWS Booth #2425 | Demo Pod #1  @ SC'22 Dallas, TX"
SC22-DEMOS,2,,,AWS Batch and AWS Batch for EKS,"Run hundreds of thousands of batch computing workloads without managing infrastructure or a job scheduler with AWS Batch. Stop by for live demos including ""Introduction to AWS Batch"", ""Introduction to AWS Batch on EKS"", ""A cloud-native SciOps pipeline for GROMACS"", ""Run genomics workflows using the Amazon Genomics CLI and AWS Batch""",AWS,15-Nov,10:00,13:00,Tuesday,,AWS HPC Team,,,"AWS Booth #2425 | Demo Pod #2  @ SC'22 Dallas, TX"
SC22-DEMOS,3,,,NICE DCV from Amazon Web Services,"Visit our NICE DCV demo station for live demonstrations including ""High-resolution showcase with NICE DCV"" and ""Streaming High-Performance Cloud Gaming with DCV"".",AWS,15-Nov,10:00,13:00,Tuesday,,NICE DCV Team,,,"AWS Booth #2425 | Demo Pod #3  @ SC'22 Dallas, TX"
SC22-DEMOS,4,SC22-PD-01,SPC-S01,Ansys Gateway on AWS,"In this demo, learn about a new service powered by AWS that Ansys is preparing to launch: Ansys Gateway. Ansys Gateway enables simpler access and deployment for several industry-leading Ansys simulations on AWS. Ansys is also performance-testing several of its products on Amazon EC2 instances.",Ansys,15-Nov,10:00,13:00,Tuesday,avikulk@,Jim Burnham <jim.burnham@ansys.com>,,SC22-DEMOS: Ansys Gateway on AWS (SC22-PD-01 | SPC-S01),"AWS Booth #2425 | Demo Pod #4  @ SC'22 Dallas, TX"
SC22-DEMOS,5,SC22-PD-05,SPC-S05,Making HPC on the AWS Cloud easy with RONIN,"In this demo, learn about RONIN, a web application that provides a user-friendly solution to self-service cloud computing via an intuitive interface, making the enormous power of AWS and AWS HPC accessible to even the most novice users. Harnessing the immense scale, power and capability of AWS, RONIN places research applications as well as scalable, on-demand, cutting-edge CPU and GPU processing power directly in the hands of researchers. The RONIN team have worked with leading research organizations and universities to develop a unique software that releases research from traditional on-premises constraints, empowering researchers and scientists to initiate and scale their research cloud computing at the click of a button.",RONIN,15-Nov,10:00,13:00,Tuesday,changkn@,Nathan Albrighton <nathan@ronin.cloud>,,SC22-DEMOS: Making HPC on the AWS Cloud easy with RONIN (SC22-PD-05 | SPC-S05),"AWS Booth #2425 | Demo Pod #5  @ SC'22 Dallas, TX"
SC22-DEMOS,6,SC22-PD-04,SPC-S04,How Rescale & AWS accelerate aerospace R&D & optimize CAE application cost performance,"Rescale, a leading provider for high-performance computing built for AWS, helps customers utilize AWS services like Amazon S3, Amazon EC2, and NICE DCV for engineering and scientific workloads. In this demo, join Rescale engineer Chris Ramirez to learn how aerospace engineers are accelerating compute-driven innovation with Rescale’s platform, which delivers HPC built for the cloud in collaboration with AWS. Find out how organizations automate full-stack HPC operations in the cloud to optimize the cost performance of computer-aided engineering simulations like CFD and FEA.",Rescale,15-Nov,10:00,13:00,Tuesday,changkn@,Pete Klein <pklein@rescale.com>,,SC22-DEMOS: How Rescale & AWS accelerate aerospace R&D & optimize CAE application cost performance (SC22-PD-04 | SPC-S04),"AWS Booth #2425 | Demo Pod #6  @ SC'22 Dallas, TX"
SC22-DEMOS,7,SC22-PD-14,SPC-S14,TotalCAE platform for HPC on AWS,"The TotalCAE platform empowers engineers to submit hundreds of applications to AWS in just a few clicks. In this demo, learn how TotalCAE uses AWS services including Elastic Fabric Adaptor (EFA), NICE DCV, and Amazon FSx for Lustre and HPC-specific instances like hpc6a.48xlarge. Look at client case studies utilizing these AWS technologies with TotalCAE to advance the state of the art of CAE simulation.",TotalCAE,15-Nov,10:00,12:00,Tuesday,nkd@,Rodney Mach <rod@totalcae.com>,,SC22-DEMOS: TotalCAE platform for HPC on AWS (SC22-PD-14 | SPC-S14),"AWS Booth #2425 | Demo Pod #7  @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-17,SPC-S17,Heterogeneous HPC workflows with Covalent on AWS,"Covalent is an open-source Pythonic tool for heterogeneous workflows (HPC and quantum), designed specifically to make computational research more scalable, manageable, and reproducible. Covalent provides a rich and intuitive browser-based interface that empowers users to visualize and interact with their workflows. Covalent integrates with a number of AWS cloud services that allow users to dispatch their workflows for remote execution on diverse compute backends. Using Covalent AWS plugins, users can prototype, iterate and rapidly optimize their workflows. Users can also self-host Covalent within their own AWS infrastructure. This demo highlights several use cases where Covalent can be used in conjunction with AWS compute resources.",Agnostiq,15-Nov,10:00,11:00,Tuesday,tejasrak@,Elliot MacGowan <elliot@agnostiq.ai>,,SC22-DEMOS: Heterogeneous HPC workflows with Covalent on AWS (SC22-PD-17 | SPC-S17),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
SC22-THEATRE,T,SC22-BT-024,SPC-S58,A detailed look at Spack’s binary cache,"At ISC 2022, Spack and AWS announced Spack’s first public binary cache, which speeds up scientific software deployment by over 20 times. Come to this session for a detailed look at how developers at LLNL and Kitware used AWS and GitLab CI to achieve continuous deployment of signed, trusted binaries from a high-velocity Spack repository. Learn about the challenges and solutions involved in applying both modern DevOps and AWS computing power to an HPC problem space.",LLNL,15-Nov,10:30,11:00,Tuesday,bouffler@,"Greg Becker, Computer Scientist, LLNL",,"SC22-THEATRE: A detailed look at Spack’s binary cache (SC22-BT-024 / 	SPC-S58)","AWS Booth #2425 | Theatre @ SC'22 Dallas, TX"
SC22-DEMOS,8,SC22-PD-18,SPC-S18,A high-performance simulation platform for quantum chemistry on the cloud,"In this demo, learn how the QEMIST Cloud platform combines AWS cloud infrastructure; compute and managed services like Amazon EC2, Amazon EKS, and Amazon Aurora; and the recently announced high-performance scaling service Karpenter to build a massively parallel multi-cluster supercomputer for chemistry applications. The computing power of this platform was tested by using it to solve a record-breaking near-exact simulation of Decacene (a molecule with ~200 active electrons in ~600 orbitals) in only 11 hours at merely $2K in cloud costs. This demo shows how cloud computing and the latest developments in AI and quantum computing are shaping the future of high-performance simulations for chemistry, advanced materials, and drug discovery.",GoodChemistry,15-Nov,11:00,12:00,Tuesday,xfanyang@,Arman Zaribafiyan <arman@goodchemistry.com>,,SC22-DEMOS: A high-performance simulation platform for quantum chemistry on the cloud (SC22-PD-18 | SPC-S18),"AWS Booth #2425 | Demo Pod #8  @ SC'22 Dallas, TX"
